track_id,audio_path,n_gt_beats,n_pred_beats,n_gt_downbeats,n_pred_downbeats,infer_seconds,status,beat_F-measure,beat_Cemgil,beat_Goto,beat_P-score,beat_CMLc,beat_CMLt,beat_AMLc,beat_AMLt,beat_Information gain,downbeat_F-measure,downbeat_Cemgil,downbeat_Goto,downbeat_P-score,downbeat_CMLc,downbeat_CMLt,downbeat_AMLc,downbeat_AMLt,downbeat_Information gain,time_signature
barronk-allgodschildren-drummondrrileyb-1990-8b77c067,/scratch/rht9410/jtd_data/barronk-allgodschildren-drummondrrileyb-1990-8b77c067.wav,762,762,190,199,7.454,ok,1.0,0.9232505707824464,0.0,0.989159891598916,0.0691056910569105,0.907859078590786,0.0691056910569105,0.907859078590786,0.5058064967478095,0.9787234042553192,0.9348873125797258,1.0,0.9583333333333334,0.4895833333333333,0.9166666666666666,0.4895833333333333,0.9166666666666666,0.6776883051940581,4
barronk-beautifullove-mrazgrileyb-2009-c87abfa6,/scratch/rht9410/jtd_data/barronk-beautifullove-mrazgrileyb-2009-c87abfa6.wav,249,250,62,62,0.132,ok,1.0,0.9414333785511766,1.0,1.0,1.0,1.0,1.0,1.0,0.5550778615036398,1.0,0.9692160018940869,1.0,1.0,1.0,1.0,1.0,1.0,0.881380575041568,4
barronk-bebop-hadenchaynesr-1994-cd0e18ee,/scratch/rht9410/jtd_data/barronk-bebop-hadenchaynesr-1994-cd0e18ee.wav,600,603,150,169,0.303,ok,0.9829931972789115,0.9212839935711116,1.0,0.9847198641765704,0.8879456706281834,0.9796264855687606,0.8879456706281834,0.9796264855687606,0.4891081763388784,0.9225806451612903,0.858382569765336,1.0,0.8957055214723927,0.3067484662576687,0.7975460122699386,0.3067484662576687,0.7975460122699386,0.6423215099788918,4
barronk-bemshaswing-reidrwaitsf-1984-05bc9ae9,/scratch/rht9410/jtd_data/barronk-bemshaswing-reidrwaitsf-1984-05bc9ae9.wav,633,635,158,159,0.237,ok,0.9991902834008096,0.950847642791165,1.0,0.9983818770226536,0.9983818770226536,0.9983818770226536,0.9983818770226536,0.9983818770226536,0.6072120149907483,1.0,0.949787452568606,1.0,1.0,1.0,1.0,1.0,1.0,0.8338260285183455,4
barronk-bemshaswing-reidrwaitsf-1984-51c9b63f,/scratch/rht9410/jtd_data/barronk-bemshaswing-reidrwaitsf-1984-51c9b63f.wav,637,638,159,160,0.239,ok,1.0,0.951591974282702,1.0,1.0,1.0,1.0,1.0,1.0,0.6064868883006624,1.0,0.9491548247266204,1.0,1.0,1.0,1.0,1.0,1.0,0.8324382993020956,4
barronk-bouncinwithbud-carterrcobhamb-2003-543d8217,/scratch/rht9410/jtd_data/barronk-bouncinwithbud-carterrcobhamb-2003-543d8217.wav,761,761,190,222,0.252,ok,0.9818181818181818,0.935832060860846,1.0,0.9798115746971736,0.7092866756393001,0.9730820995962316,0.7092866756393001,0.9730820995962316,0.445270755491597,0.8478802992518703,0.809166636772319,1.0,0.8093023255813954,0.427906976744186,0.6883720930232559,0.427906976744186,0.6883720930232559,0.6123725581807417,4
barronk-catchandrelease-kitagawakbladeb-2005-432b4129,/scratch/rht9410/jtd_data/barronk-catchandrelease-kitagawakbladeb-2005-432b4129.wav,505,253,126,110,0.175,ok,0.6675824175824175,0.65005361579849,0.0,0.5010309278350515,0.0,0.0,1.0,1.0,0.5130581852428067,0.0,1.840437739480259e-08,0.0,0.0,0.0,0.0,0.1428571428571428,0.1523809523809524,0.6241181459952063,4
barronk-embraceableyou-reidrwaitsf-1984-8db9cd16,/scratch/rht9410/jtd_data/barronk-embraceableyou-reidrwaitsf-1984-8db9cd16.wav,250,228,62,64,0.163,ok,0.9388646288209608,0.8188421128503712,1.0,0.9041666666666668,0.5166666666666667,0.8041666666666667,0.5166666666666667,0.8041666666666667,0.4278087320922032,0.0327868852459016,0.0268415820421893,0.0,0.032258064516129,0.0,0.0,0.0,0.0,0.6672824637192631,4
barronk-embraceableyoutake2-reidrwaitsf-1984-cf648aa2,/scratch/rht9410/jtd_data/barronk-embraceableyoutake2-reidrwaitsf-1984-cf648aa2.wav,377,375,94,94,0.214,ok,0.9287671232876712,0.8249256219561388,1.0,0.9344262295081968,0.3278688524590163,0.9207650273224044,0.3278688524590163,0.9207650273224044,0.3984975020030712,0.2841530054644808,0.2673889221355031,1.0,0.3478260869565217,0.3369565217391304,0.3369565217391304,0.3369565217391304,0.3369565217391304,0.479061692811841,4
barronk-equinox-kitagawakbladeb-2003-a16abfc3,/scratch/rht9410/jtd_data/barronk-equinox-kitagawakbladeb-2003-a16abfc3.wav,175,102,44,43,0.122,ok,0.6770428015564202,0.5904061847125907,0.0,0.5272727272727272,0.0484848484848484,0.1151515151515151,0.3478260869565217,0.6304347826086957,0.4448901280038307,0.7901234567901235,0.7025997960348226,0.0,0.8536585365853658,0.7317073170731707,0.8048780487804879,0.7317073170731707,0.8048780487804879,0.6633954824725696,4
