track_id,audio_path,n_gt_beats,n_pred_beats,n_gt_downbeats,n_pred_downbeats,infer_seconds,status,beat_F-measure,beat_Cemgil,beat_Goto,beat_P-score,beat_CMLc,beat_CMLt,beat_AMLc,beat_AMLt,beat_Information gain,downbeat_F-measure,downbeat_Cemgil,downbeat_Goto,downbeat_P-score,downbeat_CMLc,downbeat_CMLt,downbeat_AMLc,downbeat_AMLt,downbeat_Information gain
barronk-allgodschildren-drummondrrileyb-1990-8b77c067,/home/rht9410/jtd_data/barronk-allgodschildren-drummondrrileyb-1990-8b77c067.wav,762,762,190,328,1.773,ok,0.9986449864498645,0.7373870467715933,0.0,0.9227642276422764,0.016260162601626018,0.6910569105691057,0.016260162601626018,0.6910569105691057,0.5278460373696446,0.7145708582834333,0.5408858944445347,0.0,0.6088328075709779,0.10094637223974763,0.25236593059936907,0.10094637223974763,0.25236593059936907,0.4975068129491547
barronk-beautifullove-mrazgrileyb-2009-c87abfa6,/home/rht9410/jtd_data/barronk-beautifullove-mrazgrileyb-2009-c87abfa6.wav,249,250,62,62,0.204,ok,1.0,0.9411691184207693,1.0,1.0,1.0,1.0,1.0,1.0,0.5533401577779199,1.0,0.9671900864214046,1.0,1.0,1.0,1.0,1.0,1.0,0.86739453142243
barronk-bebop-hadenchaynesr-1994-cd0e18ee,/home/rht9410/jtd_data/barronk-bebop-hadenchaynesr-1994-cd0e18ee.wav,600,607,150,235,0.48,ok,0.9796610169491525,0.8262327710018783,1.0,0.9814502529510961,0.4839797639123103,0.9662731871838112,0.4839797639123103,0.9662731871838112,0.49393414601069774,0.7446808510638299,0.6523075589530046,0.0,0.6331877729257642,0.09606986899563319,0.4017467248908297,0.09606986899563319,0.4017467248908297,0.5102966157117597
barronk-bemshaswing-reidrwaitsf-1984-05bc9ae9,/home/rht9410/jtd_data/barronk-bemshaswing-reidrwaitsf-1984-05bc9ae9.wav,633,635,158,193,0.415,ok,0.9991902834008096,0.9634196385188142,1.0,0.9983818770226537,0.9983818770226537,0.9983818770226537,0.9983818770226537,0.9983818770226537,0.6054545581228028,0.9005847953216375,0.8672852654951395,1.0,0.8191489361702128,0.2978723404255319,0.6382978723404256,0.2978723404255319,0.6382978723404256,0.720245774547647
barronk-bemshaswing-reidrwaitsf-1984-51c9b63f,/home/rht9410/jtd_data/barronk-bemshaswing-reidrwaitsf-1984-51c9b63f.wav,637,638,159,194,0.421,ok,1.0,0.9642823292895277,1.0,1.0,1.0,1.0,1.0,1.0,0.606253470087658,0.9011627906976745,0.8685611437881423,1.0,0.8201058201058201,0.2962962962962963,0.6402116402116402,0.2962962962962963,0.6402116402116402,0.7249465867611777
barronk-bouncinwithbud-carterrcobhamb-2003-543d8217,/home/rht9410/jtd_data/barronk-bouncinwithbud-carterrcobhamb-2003-543d8217.wav,761,764,190,253,0.53,ok,0.9838709677419354,0.9351391415974379,1.0,0.978523489932886,0.7073825503355705,0.9718120805369127,0.7073825503355705,0.9718120805369127,0.4409454336899047,0.7816091954022988,0.7448888041101336,1.0,0.6947791164658634,0.20481927710843373,0.4819277108433735,0.20481927710843373,0.4819277108433735,0.5746992081519224
barronk-catchandrelease-kitagawakbladeb-2005-432b4129,/home/rht9410/jtd_data/barronk-catchandrelease-kitagawakbladeb-2005-432b4129.wav,505,505,126,162,0.285,ok,1.0,0.8874735331700776,1.0,1.0,0.8721649484536083,0.9979381443298969,0.8721649484536083,0.9979381443298969,0.5747554386639544,0.10791366906474821,0.0921839423589392,0.0,0.09554140127388536,0.0,0.0,0.0,0.0,0.5436087933463313
barronk-embraceableyou-reidrwaitsf-1984-8db9cd16,/home/rht9410/jtd_data/barronk-embraceableyou-reidrwaitsf-1984-8db9cd16.wav,250,251,62,116,0.28,ok,0.9875,0.7524905214213623,1.0,0.9916666666666667,0.7583333333333333,0.9875,0.7583333333333333,0.9875,0.5199962434793529,0.5325443786982249,0.3734846684141267,0.0,0.43119266055045874,0.009174311926605505,0.03669724770642202,0.009174311926605505,0.03669724770642202,0.39585371003498177
barronk-embraceableyoutake2-reidrwaitsf-1984-cf648aa2,/home/rht9410/jtd_data/barronk-embraceableyoutake2-reidrwaitsf-1984-cf648aa2.wav,377,380,94,219,0.361,ok,0.9251700680272109,0.7218588930154068,1.0,0.943089430894309,0.5121951219512195,0.9349593495934959,0.5121951219512195,0.9349593495934959,0.4291447453941245,0.4554455445544554,0.3485826699580006,0.0,0.36792452830188677,0.02358490566037736,0.04716981132075472,0.02358490566037736,0.10377358490566038,0.3649180442090312
barronk-equinox-kitagawakbladeb-2003-a16abfc3,/home/rht9410/jtd_data/barronk-equinox-kitagawakbladeb-2003-a16abfc3.wav,175,177,44,64,0.228,ok,0.9337349397590362,0.7710813279541985,1.0,0.9341317365269461,0.8023952095808383,0.9281437125748503,0.8023952095808383,0.9281437125748503,0.5741846550847186,0.6875,0.5937362598382115,0.0,0.6545454545454545,0.2727272727272727,0.43636363636363634,0.2727272727272727,0.43636363636363634,0.5583811635495094
